"Date","Price","Open","High","Low","Change %"
"04/21/2023","114.47","114.70","115.00","114.41","-0.17%"
"04/20/2023","114.66","114.25","114.81","114.22","0.41%"
"04/19/2023","114.19","114.42","114.45","113.95","-0.25%"
"04/18/2023","114.48","114.30","114.67","114.25","0.10%"
"04/17/2023","114.36","114.86","114.97","114.25","-0.44%"
"04/14/2023","114.86","115.52","115.72","114.72","-0.51%"
"04/13/2023","115.45","115.89","116.09","115.39","-0.22%"
"04/12/2023","115.70","115.45","116.25","115.25","0.28%"
"04/11/2023","115.38","115.48","115.78","115.20","-0.12%"
"04/10/2023","115.52","115.77","115.98","115.38","-0.24%"
"04/07/2023","115.80","116.44","116.50","115.72","-0.64%"
"04/06/2023","116.55","116.39","116.94","116.34","-0.03%"
"04/05/2023","116.58","116.17","116.94","115.91","0.28%"
"04/04/2023","116.25","115.58","116.28","115.08","0.69%"
"04/03/2023","115.45","114.91","115.67","114.56","0.46%"
"03/31/2023","114.92","114.53","115.11","114.28","0.30%"
"03/30/2023","114.58","114.47","114.73","114.22","0.04%"
"03/29/2023","114.53","114.58","114.88","114.22","-0.10%"
"03/28/2023","114.64","114.98","115.23","114.53","-0.30%"
"03/27/2023","114.98","116.17","116.20","114.88","-0.97%"
"03/24/2023","116.11","115.89","117.05","115.67","0.11%"
"03/23/2023","115.98","115.45","116.25","115.03","0.77%"
"03/22/2023","115.09","114.12","115.61","113.81","0.85%"
"03/21/2023","114.12","114.98","115.45","114.06","-0.84%"
"03/20/2023","115.09","115.25","116.75","114.78","-0.62%"
"03/17/2023","115.81","114.27","115.91","114.05","1.42%"
"03/16/2023","114.19","115.33","116.03","114.16","-0.81%"
"03/15/2023","115.12","113.48","115.97","113.27","1.11%"
"03/14/2023","113.86","114.38","115.23","113.28","-0.70%"
"03/13/2023","114.66","113.19","115.41","112.66","1.34%"
"03/10/2023","113.14","111.66","113.31","111.64","1.49%"
"03/09/2023","111.48","110.81","111.72","110.70","0.50%"
"03/08/2023","110.92","110.98","111.45","110.64","-0.03%"
"03/07/2023","110.95","111.09","111.41","110.73","-0.03%"
"03/06/2023","110.98","111.11","111.53","110.95","-0.10%"
"03/03/2023","111.09","110.58","111.16","110.48","0.53%"
"03/02/2023","110.50","111.05","111.06","110.39","-0.45%"
"03/01/2023","111.00","111.53","111.61","110.91","-0.15%"
"02/28/2023","111.17","111.16","111.25","110.75","0.03%"
"02/27/2023","111.14","110.89","111.33","110.72","0.20%"
"02/24/2023","110.92","111.41","111.59","110.66","-0.47%"
"02/23/2023","111.44","111.20","111.53","110.80","0.22%"
"02/22/2023","111.20","111.06","111.45","110.95","0.13%"
"02/21/2023","111.06","111.98","112.02","110.98","-0.63%"
"02/20/2023","111.77","111.94","111.95","111.77","-0.15%"
"02/19/2023","111.94","111.97","112.02","111.94","-0.06%"
"02/17/2023","112.00","111.73","112.08","111.27","0.10%"
"02/16/2023","111.89","112.03","112.36","111.64","-0.14%"
"02/15/2023","112.05","112.41","112.56","111.97","-0.25%"
"02/14/2023","112.33","112.88","113.55","112.09","-0.40%"
"02/13/2023","112.78","112.64","112.89","112.53","0.08%"
"02/10/2023","112.69","113.19","113.22","112.62","-0.30%"
"02/09/2023","113.03","113.66","113.81","113.00","-0.34%"
"02/08/2023","113.41","113.25","113.64","113.19","0.16%"
"02/07/2023","113.23","113.45","113.88","113.17","-0.24%"
"02/06/2023","113.50","114.34","114.36","113.33","-0.80%"
"02/03/2023","114.42","115.50","115.70","114.25","-0.98%"
"02/02/2023","115.55","115.31","116.00","115.31","0.06%"
"02/01/2023","115.48","114.64","115.59","114.55","0.84%"
"01/31/2023","114.52","114.41","114.81","114.30","0.21%"
"01/30/2023","114.28","114.66","114.78","114.17","-0.29%"
"01/27/2023","114.61","114.78","114.88","114.38","-0.22%"
"01/26/2023","114.86","115.23","115.28","114.67","-0.24%"
"01/25/2023","115.14","115.14","115.41","114.92","0.10%"
"01/24/2023","115.03","114.75","115.12","114.44","0.30%"
"01/23/2023","114.69","115.03","115.22","114.59","-0.32%"
"01/20/2023","115.06","115.64","115.66","114.86","-0.50%"
"01/19/2023","115.64","115.86","116.25","115.45","-0.23%"
"01/18/2023","115.91","114.56","115.95","114.50","1.08%"
"01/17/2023","114.67","114.80","114.92","114.30","-0.03%"
"01/16/2023","114.70","114.75","114.92","114.53","-0.03%"
"01/15/2023","114.73","114.81","114.83","114.72","-0.03%"
"01/13/2023","114.77","115.27","115.48","114.75","-0.40%"
"01/12/2023","115.23","114.50","115.42","114.00","0.69%"
"01/11/2023","114.44","114.00","114.59","113.98","0.39%"
"01/10/2023","114.00","114.47","114.61","113.83","-0.54%"
"01/09/2023","114.62","114.23","114.73","114.00","0.35%"
"01/06/2023","114.22","113.02","114.36","112.64","1.06%"
"01/05/2023","113.02","113.33","113.36","112.58","-0.15%"
"01/04/2023","113.19","112.89","113.48","112.83","0.49%"
"01/03/2023","112.64","112.56","113.11","112.39","0.12%"
"01/02/2023","112.50","112.20","112.64","112.20","0.26%"
"01/01/2023","112.20","112.20","112.20","112.20","-0.09%"
"12/30/2022","112.30","112.50","112.52","111.88","-0.12%"
"12/29/2022","112.44","112.22","112.56","112.16","0.22%"
"12/28/2022","112.19","112.48","112.69","112.12","-0.12%"
"12/27/2022","112.33","113.19","113.20","112.31","-0.72%"
"12/26/2022","113.14","113.19","113.19","113.11","-0.04%"
"12/25/2022","113.19","113.19","113.19","113.19","0.10%"
"12/23/2022","113.08","113.42","113.48","112.97","-0.41%"
"12/22/2022","113.55","113.67","113.91","113.42","-0.01%"
"12/21/2022","113.56","113.50","114.05","113.30","0.03%"
"12/20/2022","113.53","114.14","114.17","113.31","-0.53%"
"12/19/2022","114.14","114.70","114.72","114.02","-0.58%"
"12/16/2022","114.81","114.94","114.95","114.19","-0.10%"
"12/15/2022","114.92","114.95","115.08","114.56","0.17%"
"12/14/2022","114.72","114.72","115.06","114.25","-0.05%"
"12/13/2022","114.78","113.84","115.36","113.78","0.83%"
"12/12/2022","113.83","113.97","114.39","113.70","-0.23%"
"12/09/2022","114.09","114.52","114.77","113.92","-0.31%"
"12/08/2022","114.45","115.00","115.03","114.38","-0.62%"
"12/07/2022","115.16","114.23","115.20","114.06","0.70%"
"12/06/2022","114.36","113.98","114.41","113.78","0.44%"
"12/05/2022","113.86","114.58","114.62","113.78","-0.70%"
"12/02/2022","114.66","114.70","114.89","113.67","0.04%"
"12/01/2022","114.61","114.11","114.77","113.84","0.98%"
"11/30/2022","113.50","112.97","114.16","112.55","0.46%"
"11/29/2022","112.98","113.33","113.64","112.88","-0.24%"
"11/28/2022","113.25","113.44","113.84","113.19","-0.05%"
"11/25/2022","113.31","113.27","113.77","112.86","0.01%"
"11/24/2022","113.30","113.05","113.47","113.03","0.04%"
"11/23/2022","113.25","112.86","113.39","112.50","0.30%"
"11/22/2022","112.91","112.50","113.00","112.47","0.29%"
"11/21/2022","112.58","112.55","112.98","112.36","0.02%"
"11/18/2022","112.56","112.89","113.06","112.48","-0.31%"
"11/17/2022","112.91","113.41","113.56","112.70","-0.50%"
"11/16/2022","113.48","112.94","113.61","112.55","0.57%"
"11/15/2022","112.84","112.39","113.27","112.30","0.38%"
"11/14/2022","112.41","112.45","112.48","112.17","-0.15%"
"11/11/2022","112.58","112.77","112.81","112.30","-0.18%"
"11/10/2022","112.78","110.92","112.84","110.69","1.98%"
"11/09/2022","110.59","110.55","111.00","110.27","0.04%"
"11/08/2022","110.55","109.84","110.58","109.70","0.57%"
"11/07/2022","109.92","110.39","110.45","109.86","-0.38%"
"11/04/2022","110.34","110.14","110.67","109.73","0.01%"
"11/03/2022","110.33","110.53","110.56","109.69","-0.53%"
"11/02/2022","110.92","110.81","111.59","110.53","0.04%"
"11/01/2022","110.88","111.00","111.94","110.78","0.00%"
"10/31/2022","110.88","111.14","111.25","110.69","-0.38%"
"10/28/2022","111.30","112.20","112.20","111.14","-0.61%"
"10/27/2022","111.98","111.41","112.25","110.86","0.51%"
"10/26/2022","111.41","110.88","111.55","110.88","0.48%"
"10/25/2022","110.88","110.14","111.28","110.11","0.77%"
"10/24/2022","110.03","110.16","110.75","109.75","-0.07%"
"10/21/2022","110.11","109.70","110.25","109.19","0.37%"
"10/20/2022","109.70","110.22","110.50","109.62","-0.62%"
"10/19/2022","110.38","111.27","111.27","110.27","-0.83%"
"10/18/2022","111.30","111.09","111.44","110.89","0.20%"
"10/17/2022","111.08","111.05","111.73","111.03","0.05%"
"10/14/2022","111.02","111.33","112.00","110.89","-0.28%"
"10/13/2022","111.33","111.62","112.38","110.39","-0.38%"
"10/12/2022","111.75","111.62","111.88","111.41","0.31%"
"10/11/2022","111.41","111.19","111.78","111.00","0.12%"
"10/10/2022","111.28","111.62","111.62","111.08","-0.42%"
"10/07/2022","111.75","112.03","112.03","111.58","-0.43%"
"10/06/2022","112.23","112.75","112.75","112.11","-0.48%"
"10/05/2022","112.77","113.66","113.66","112.55","-0.86%"
"10/04/2022","113.75","113.86","114.12","113.58","0.24%"
"10/03/2022","113.48","112.41","114.03","112.41","0.98%"
"09/30/2022","112.38","112.34","113.14","112.34","-0.33%"
"09/29/2022","112.75","112.69","112.81","111.94","-0.27%"
"09/28/2022","113.06","111.23","113.16","110.97","1.78%"
"09/27/2022","111.08","111.39","112.23","110.94","-0.43%"
"09/26/2022","111.56","112.80","112.80","111.25","-1.10%"
"09/23/2022","112.80","112.70","113.14","112.02","-0.19%"
"09/22/2022","113.02","113.94","114.28","112.81","-1.36%"
"09/21/2022","114.58","114.47","114.52","113.58","0.46%"
"09/20/2022","114.05","114.56","114.56","113.84","-0.45%"
"09/19/2022","114.56","114.84","115.00","114.84","-0.34%"
"09/16/2022","114.95","114.52","114.62","114.52","0.22%"
