undefined
Date, Value
2022-04-29,53
2022-05-06,28
2022-05-13,27
2022-05-20,22
2022-05-27,13
2022-06-03,15
2022-06-10,31
2022-06-17,32
2022-06-24,-26
2022-07-01,-32
2022-07-08,-40
2022-07-15,-48
2022-07-22,-92
2022-07-29,-64
2022-08-05,-51
2022-08-12,-48
2022-08-19,-51
2022-08-26,-33
2022-09-02,-17
2022-09-09,-17
2022-09-16,-11
2022-09-23,4
2022-09-30,0
2022-10-07,2
2022-10-14,6
2022-10-21,22
2022-10-28,9
2022-11-04,9
2022-11-11,9
2022-11-18,16
2022-11-25,42
2022-12-02,28
2022-12-09,38
2022-12-16,62
2022-12-19,66.7
2022-12-20,67.4
2022-12-21,68.2
2022-12-22,68.5
2022-12-23,69
2022-12-27,69.8
2022-12-28,68.7
2022-12-29,68.1
2022-12-30,67.9
2023-01-03,69.3
2023-01-04,76.6
2023-01-05,75.9
2023-01-06,79
2023-01-09,77.1
2023-01-10,80.1
2023-01-11,79.5
2023-01-12,78.8
2023-01-13,80.3
2023-01-16,77.4
2023-01-17,88.9
2023-01-18,88.2
2023-01-19,87.9
2023-01-20,87.7
2023-01-23,84.6
2023-01-24,89.8
2023-01-25,87.7
2023-01-26,85.3
2023-01-27,83.2
2023-01-30,91
2023-01-31,97.2
2023-02-01,101.3
2023-02-02,97.7
2023-02-03,100.1
2023-02-06,100.6
2023-02-07,95.6
2023-02-08,94.4
2023-02-09,93
2023-02-10,92.4
2023-02-13,87.3
2023-02-14,86.1
2023-02-15,82.7
2023-02-16,81.2
2023-02-17,79.4
2023-02-20,70
2023-02-21,68.6
2023-02-22,67.6
2023-02-23,71.7
2023-02-24,68.7
2023-02-27,60.5
2023-02-28,61.8
2023-03-01,59.4
2023-03-02,70.8
2023-03-03,64.4
2023-03-06,56.6
2023-03-07,58.7
2023-03-08,61.6
2023-03-09,60.6
2023-03-10,59.4
2023-03-13,54.6
2023-03-14,51.6
2023-03-15,49.8
2023-03-16,49.2
2023-03-17,48.4
2023-03-20,46.5
2023-03-21,45.1
2023-03-22,44.5
2023-03-23,44
2023-03-24,52.6
2023-03-27,59.5
2023-03-28,60.9
2023-03-29,60
2023-03-30,54.2
2023-03-31,50
2023-04-03,46.5
2023-04-04,46.8
2023-04-05,53.8
2023-04-06,56.5
2023-04-10,52.3
2023-04-11,52
2023-04-12,50.7
2023-04-13,49.6
2023-04-14,48.4
2023-04-17,43.8
2023-04-18,38.1
2023-04-19,37.5
2023-04-20,37
